"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1uF","",""
"2","C2","1","220uF","",""
"3","C3, C4, C5","3","10uF","",""
"4","D1, D4","2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"5","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"6","J1","1","Eurorack style bus","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"7","J2","1","CV In","",""
"8","J3","1","Audio In","",""
"9","J5","1","Audio Out","",""
"10","J6","1","GND breakout","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"11","R1","1","18k","",""
"12","R2, R5","2","22k","",""
"13","R3, R4","2","470","",""
"14","R6, R7, R8","3","4k7","",""
"15","SW1","1","CV Int/Ext","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"16","U1","1","LM13600","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"17","U2","1","CA3140","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
